market_constraint,dayzer_constraint,pano_constraint
64_BELLW_138KV51172_1_LN,64 BELLW_138 KV_5117 2:138L5105 GF McCook-Ridgeland 138 kV SPOG 2-25,5117 138KV - 64 BELLW 138KV (64 BELLW 138 KV 5117 2) 138L5105 GF McCook-Ridgeland 138 kV SPOG 2-25
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:L765.Maliszewski-Marysville,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL) L765.Maliszewski-Marysville
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:ACTUAL,KERRDAM 115 KV  193D L500.Carson-Clover.556
EDWSFERY230 KV 203A,EDWSFERY_230 KV_203A:L500.Doubs-GooseCreek.514,EDWSFERY 230KV - PLEASNTV 230KV (EDWSFERY 230 KV 203A) L500.Doubs-GooseCreek.514
LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:L230.IndianRiver-Milford.23034,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE) L230.IndianRiver-Milford.23034
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:L230.HomerCity-Shelocta-Keystone.2014,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR) L230.HomerCity-Shelocta-Keystone.2014
HANTHORN138 KV  HAN-THA,HANTHORN_138 KV_HAN-THA:L345.EastLima-SouthWestLima,THAYER 138KV - HANTHORN 138KV (HANTHORN 138 KV HAN-THA) L345.EastLima-SouthWestLima
SALTSPRG_138KVSAL-MAS1_1_LN,SALTSPRG_138 KV_SAL-MAS1:ACTUAL,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1) L138.Lowellville-Lincoln Park
BATESVILLE-HUBBLE138 FLO TANNERSCREEK-DEARBORN 345,TRENTON2_138 KV_TRE-COL1:L345.TannersCreek-Dearborn.1,BATESVIL 138KV - HUBBLE 138KV (BATESVIL 138 KV BAT-HUB1) L345.TannersCreek-Dearborn.1
OTTCRKPL230 KV  OTT-YOR,OTTCRKPL_230 KV_OTT-YOR:L500.Hunterstown-Conastone.5013,YORKANA 230KV - OTTCRKPL 230KV (OTTCRKPL 230 KV OTT-YOR) L500.Hunterstown-Conastone.5013
FARMVIEW138 KV  FRM-MIL,FARMVIEW_138 KV_FRM-MIL:L230.IndianRiver-Milford.23034,MILFORD 138KV - FARMVIEW 138KV (FARMVIEW 138 KV FRM-MIL) L230.IndianRiver-Milford.23034
LEXINGTN 500 KV LEXINGTN TX3 XFORMER,HARRSNBG_230 KV_260A:L500.BathCounty-Lexington.547,LEXINGTN 500KV - LEXINGTN 230KV (LEXINGTN 500 KV TX3) L500.BathCounty-Lexington.547
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_500-4:TEMP: TMI-PeachBot 5007 & PeachBot-Conastone 5012,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA) L500.PeachBottom-TMI.5007
TURKEY HILL MASCOUTA 138 L/O ST FRANICOIS LUTESVIL 345,PRES_138 KV_PRE-TIBB:St. Francis-Lutesville 345kV,Turkey Hill Mascouta 138 l/o St Franicois Lutesvil 345 St. Francis-Lutesville 345kV
BERYL   138 KV  BER-MTZ,BERYL_138 KV_BER-MTZ:ACTUAL,MTZI APS 138KV - BERYL 138KV (BERYL 138 KV BER-MTZ) L500.Brighton-Conastone.5011
BOXCAR-E MAIN ST 138 KV L/O PANA - AUSTIN 345 KV,AUSTIN_138 KV_AUS-TAY:Pana - Austin 345 kV,Maroa E - Goose Creek 345 kV l/o Pana-Austin 345 kV Pana - Austin 345 kV
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:L115.RoundTop-Newberry-Cly,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX) L115.RoundTop-Newberry-Cly (Sctnlz F)
CONASTON_230KVCNS-NOR1_1_LN,CONASTON_230 KV_CNS-NOR1:L500.Bedington-BlackOak,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR1) L500.Bedington-BlackOak
122 BELV 138 KV 122 BELV-15623 15623 2,122 BELV_138 KV_15623 2:L345.Byron-Wayne.0626,15623 138KV - 122 BELV 138KV (122 BELV 138 KV 15623 2) L345.Byron-Wayne.0626
ABINGDON 138 KV ABINGDON-CLINCHRI,ABINGDON_138 KV_ABI-CLI1:L765.Baker-Broadford,CLINCHRI 138KV - ABINGDON 138KV (ABINGDON 138 KV ABI-CLI1) L765.Baker-Broadford
HAMPSHIR_138KVHAM-RID_1_LN,HAMPSHIR_138 KV_HAM-RID:DBL:502JCT-MT.STORM (TRAIL) 500kV & MtStorm U2 CBs,RIDGELEY 138KV - HAMPSHIR 138KV (HAMPSHIR 138 KV HAM-RID) L500.502Junction-MtStorm (TRAIL)
HARRISN 138 KV  HAR-OST,HARRISN_138 KV_HAR-OST:ACTUAL,HARRISN 138KV - OST 138KV (HARRISN 138 KV HAR-OST) L500.BurchesHill-PossumPoint.560
VIENNA 13710 SER DEV,VIENNA_138 KV_13710:L230.IndianRiver-Milford.23034,VIENNA 13710 SER DEV L230.IndianRiver-Milford.23034
HAVILAND69 KV   HAV-NVA,HAVILAND_69 KV_HAV-NVA:L138.AllenIM-Tillman-TimberRoad,NVANWERT 69KV - HAVILAND 69KV (HAVILAND 69 KV HAV-NVA) L138.AllenIM-Tillman-TimberRoad
ELANCAST138 KV  ELA-PRI1,ELANCAST_138 KV_ELA-PRI1:L500.Conastone-PeachBottom.5012,ELANCAST 138KV - PRINCEPL 138KV (ELANCAST 138 KV ELA-PRI1) L500.Conastone-PeachBottom.5012
JOSHUAF2_T1_765.1_XF,JOSHUAF2_765 KV_. 1:L500.Cloverdale-Lexington.566,JOSHUAF2 765KV - JOSHUAF2 138KV (JOSHUAF2 765 KV .  1) L500.Cloverdale-Lexington.566
BREWERSTREET - STABLE 138 KV L/O FERMI UNIT2,BRWSJ_138 KV_BRW-STAB:Fermi Unit 2,BRWSJ 138KV - STABL 138KV (BRWSJ 138 KV BRW-STAB) Fermi Unit 2
PIERCE 345/138 KV BK18 L/O TANNERS CREEK - MIAMI FORT 138 KV,BECKJORD_138 KV_PIE-BEC4:L345.Tanners Creek-Miami Fort,PIERC_DK 345KV - PIERC_DK 138KV (PIERC_DK 345 KV BK18) L345.TannersCreek-MiamiFort
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:L230.Graceton-FvFrks.110510 + 230/115.Grctn.230-1,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC) L230.Graceton-FvFrks.110510 + 230/115.Grctn.230-1
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,EDGEWATE_138 KV_EDG-VAS:500/138.Yukon.T2,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS) L500.SouthBend-Yukon
FREMNT-FREMONTC A 138 KV,FREMNT_138 KV_FRE-FRE1:L345.FostoriaCentral-Lemoyne,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) L345.FostoriaCentral-Lemoyne
7 STATE 138 KV STATELIN-17ROXANA TIE,17ROXANA_138 KV_17R-PRA1:Wilton Center-Dumont 765kV + Sheffield-Gary Ave 34,STATELIN-17ROXANA NIP TIE   A  138 KV L765.Dumont-Wilton Center.11215
MIAMIFOR 345 KV MIAMIFOR 9 XFORMER,MIAMIFOR_345 KV_9:L345.WestMilton-MiamiFort,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9) L345.WestMilton-MiamiFort
STATE LINE-ROXANA 138 KV L/O SHEFFIELD 345/138 KV,7 STATE_345 KV_TR82CT:345/138.Sheffield.T2 (NIPS),7 STATE 138KV - 17ROXANA 138KV (7 STATE 138 KV STA-17R1) 345/138.Sheffield.T2 (NIPS)
EMILIE-ROLL PE 130-39 A 138 KV,FALLS_138 KV_FAL-STE:L500.NewFreedom-EastWindsor.5038,EMILIE 138KV - ROLL PE 138KV (EMILIE 138 KV EMI-ROL) L500.NewFreedom-EastWindsor.5038
MOROCCO-ALLENJUNCTION 345KV FLO LEMOYNE-MAJESTIC 345KV,LEMOYNE2_345 KV_MAJ-LEM1:L345.AllenJunction-Morocco (ITC) Tie,MAJESTIC 345KV - LEMOYNE2 345KV (LEMOYNE2 345 KV MAJ-LEM1) L345.AllenJunction-Morocco (ITC) Tie
CONEMAUG500 KV TX3,CONEMAUG_500 KV_TX3:L500.Conemaugh-Keystone.5003,CONEMAUG 500KV - CONEMAUG 230KV (CONEMAUG 500 KV TX3) L500.Conemaugh-Keystone.5003
SALTSPRG 138 KV SALTSPRG-MASURY,SALTSPRG_138 KV_SAL-MAS1:L345.Wellsville-Sammis,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1) DBL:Hanna-Highland 345kv + Sammis-Wellsville 345kv
LONGWOOD 69 KV LONGWOOD-WYEMILLS 6707-3,BLOOMFLD_69 KV_BLO-EAS:L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707,LONGWOOD-WYEMILLS 6707-3    B  69 KV 138/69.Easton.AT1 + L138.Steele-Easton.13712
MIAMIFOR 345 KV MIAMIFOR 10 XFORMER,MIAMIFOR_345 KV_10:L345.MiamiFort-Woodsdale.4592,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 10) L345.MiamiFort-Woodsdale.4592
08LAPLJT138 KV  08L-SAN1,08LAPLJT_138 KV_08L-SAN1:L345.EastLima-FostoriaCentral,SANDERSO 138KV - 08LAPLJT 138KV (08LAPLJT 138 KV 08L-SAN1) L345.EastLima-FostoriaCentral
FINLEY  138 KV  FIN-MIL,FINLEY_138 KV_FIN-MIL:ACTUAL,FINLEY 138KV - 02MLCRK 138KV (FINLEY 138 KV FIN-MIL) BASE
LICKRUN -ROCKWOOD LIC-ROC   A  115 KV,LICKRUN_115 KV_LIC-ROC:L115.Rockwood-Somerset,LICKRUN 115KV - ROCKWOOD 115KV (LICKRUN 115 KV LIC-ROC) L115.Rockwood-Somerset
TANNERS CREEK - MIAMI FORT 345 KV L/O MARYSVILLE - SORENSON 765 KV,TANNERSC_345 KV_TAN-DEA1:L345.Tanners Creek-Miami Fort,LINE    138 KV  Miami Fort-Hebron 138 kv l/o Tanners Creek-Dearborn 345 kV FG LINE    345 KV  TAN-DEA1CMPLINE DUMMY
BEATTY  138 KV  BEA-ZUB1,BEATTY_138 KV_BEA-ZUB1:L138.Bixby-LSII,BEATTY 138KV - ZUBER 138KV (BEATTY 138 KV BEA-ZUB1) L138.Bixby-LSII
HOWARD2-MELMORE B 138 KV,HOWARD2_138 KV_HOW-MEL1:L345.Beaver-DavisBesse,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1) L345.Beaver-DavisBesse
SPRUCE  138 KV  SPR-04S3,SPRUCE_138 KV_SPR-04S3:L345.Ashtabula-Perry,SPRUCE 138KV - SANBORN 138KV (SPRUCE 138 KV SPR-04S3) L345.Ashtabula-Perry
LAKVEW 138 KV LAKVEW-OTTAWATE,LAKVEW_138 KV_LAK-GRE1:L345.DavisBesse-Hayes,OTTAWATE 138KV - LAKVEW 138KV (LAKVEW 138 KV LAK-OTT1) L345.Beaver-DavisBesse
YORKANA B43 CB  230 KV,BAGLEY_230 KV_BAG-RAP5:L500.Brighton-Conastone.5011,JACK ME 230KV - YORKANA 230KV (JACK ME 230 KV JAC-YOR) DBL:Conastone.TX500-4 & L500.Brighton-Constne.5011
ELIMA   138 KV  ELI-NWL1,ELIMA_138 KV_ELI-NWL1:L345.EastLima-SouthWestLima,ELIMA 138KV - NWLIMA 138KV (ELIMA 138 KV ELI-NWL1) L345.EastLima-SouthWestLima
GEORGEWA 138 KV GEORGEWA-KAMMER2,GEORGEWA_138 KV_GEO-KAM:L138.Kammer-Natrium,GEORGEWA 138KV - NATRIUM2 138KV (GEORGEWA 138 KV GEO-NAT1) L138.Kammer-Natrium
SAKRON  230 KV  7,SAKRON_230 KV_7:L500.Conastone-PeachBottom.5012,SAKRON 230KV - SAKRON 138KV (SAKRON 230 KV 7) L500.Conastone-PeachBottom.5012
NELSON 345/138 TR82 L/O NELSON-ELECTRIC JCT 345,155 NELS_138 KV_TR82CT-S:L345.Nelson-Electric Junction.15502,Nelson 345/138 TR82 l/o Nelson-Electric Jct 345 L345.Nelson-Electric Junction.15502
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:L765.Maliszewski-Marysville,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL) L765.Maliszewski-Marysville
CRANBERY138 KV  CRA-HOY,CRANBERY_138 KV_CRA-HOY:L500.Cranberry-WylieRidge,CRANBERY 138KV - HOYTDAL2 138KV (CRANBERY 138 KV CRA-HOY) L500.Cranberry-WylieRidge
YUKON 500 KV YUKON TRAN 2 XFORMER,YUKON_500 KV_TRAN 6:L500.RhodesLane-Yukon.518,YUKON    TRAN  2  XFORMER   H  500 KV L500.RhodesLane-Yukon.518
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:L115.Carolina-Sockman-PleasantHillTap-Skippers.130,KERRDAM 115KV - KERRDP 115KV (KERRDAM 115 KV 193D) L115.Carolina-EatonsFerry-Kerrdam.22
DESOTO  345 KV  T2,DESOTO_345 KV_T2:ACTUAL,PIPECREE138 KV  MUL-PIP1 345/138.Desoto.T2
KUCHAR  138 KV  KUC-SIL,KUCHAR_138 KV_KUC-SIL:345/138.Olive.T2,KUCHAR 138KV - SILVERLK 138KV (KUCHAR 138 KV KUC-SIL) 345/138.Olive.T2
SHENANGO138 KV  SHE-SHA1,SHENANGO_138 KV_SHE-SHA1:ACTUAL,SHENANGO 138KV - SHARON 138KV (SHENANGO 138 KV SHE-SHA1) BASE
HAZARD_T2_1613_XF,STIFFIN_138 KV_T2 XF:ACTUAL,TRENTON2138 KV  TRE-HUT1 DUMONT 765-345KV T2 XF
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L500.SouthBend-Yukon,ALLDAM6-KITTANNI SP-KT      A  138 KV MAXCR: 500/230.Keystone.T3+U1+U2+5001+02+03+04
FRDRKSBG230 KV  2083A,FRDRKSBG_230 KV_2083A:ACTUAL,FRDRKSBG 230KV - BIRCHWD 230KV (FRDRKSBG 230 KV 2083A) BASE
50045005 59,50045005 59 L500.Hunterstown-Vinco.5068,TRANSFER INTERFACE: 50045005 L500.Hunterstown-Vinco.5068
NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,NEWCARLI_138 KV_NEW-PLE:345/138.BentonHarbor.T1 (Sctnlz),MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2) 345/138.BentonHarbor.T1 (Sctnlz)
CUSHAW  115 KV  TX1,CUSHAW_115 KV_TX1:ACTUAL,CUSHAW 115KV - CUSHAW 2KV (CUSHAW 115 KV TX1) BASE
KEYSTONE B6 CB                 500 KV,JUNIATA_230 KV_JUN-LEW:L500.Conemaugh-Juniata.5005,KEYSTONE B6 CB                 500 KV L500.Conemaugh-Juniata.5005
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,ETOWANDA_115 KV_ETO-NME:L230.Moshannon-Chapman-Lobo-Marshall,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) L230.Moshannon-Chapman-Lobo-Marshall
LADYSMTH-ELMONT4 574A A 500 KV,LADYSMTH_500 KV_574A:L500.Midlothian-NorthAnna.576,ELMONT4 500KV - LADYSMTH 500KV (LADYSMTH 500 KV 574A) L500.Midlothian-NorthAnna.576
ERDMAN  115 KV  ERD-PHI5,ERDMAN_115 KV_ERD-PHI5:ACTUAL,ERDMAN 115KV - PHILADRD 115KV (ERDMAN 115 KV ERD-PHI5) BASE
BEDINGTO_T2_500TRAN4_XF,BEDINGTO_500 KV_TRAN 4:L500.Bedington-Doubs,BEDINGTO500 KV  TRAN  4 L500.Bedington-Doubs
PRUNTYTO P11     CB      138 KV,PRUNTYTO_500 KV_TRAN 2:500/138.Pruntytown.Tran1 (Sctnlz),PRUNTYTO 500KV - PRUNTYTO 138KV (PRUNTYTO 500 KV TRAN  1) 500/138.Pruntytown.T3 & T4 (Sctnlz F)
FRANCISCO - DUFF 345 KV FLO GIBSON -ABBROWN 345 KV,DUFF_345 KV_DUF-FRC:Gibson-AB Brown 345 kV,Gibson-Francisco-345 kV l/o Gibson-Abbrown-345 kV Gibson-AB Brown 345 kV
ELIMA   345 KV  2-P,ELIMA_345 KV_2-P:345/138.FostoriaCentral.T1,ELIMA 345KV - ELIMA 1KV (ELIMA 345 KV 2-P) 345/138.FostoriaCentral.T1
CABINRUN230 KV  CAB-YARR,CABINRUN_230 KV_CAB-YARR:L230.Brambleton-PolandRoad.2183,YARDRIDG 230KV - CABINRUN 230KV (CABINRUN 230 KV CAB-YARR) L230.Brambleton-PolandRoad.2183
SWLIMA-WMOULTON             A  138 KV,WMOULTON_138 KV_WMO-CIT1:L345.SouthWestLima-Gristmill,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1) L345.SouthWestLima-Gristmill
SHELOCTA_T1_230NO2_XF,SHELOCTA_230 KV_NO2:L230.HomerCity-Shelocta.2014 (Sctnlz),SHELOCTA230 KV  NO2 L345.Armstrong-HomerCity
BELLEAU - HUSTERA 138KV L/O LABADIE - MONTGOMERY 345KV,BELLEAU3_138 KV_LN 2656:Labadie - Montgomery 345kV,FTZUM T3 138KV - HUSTER 3 138KV (FTZUM T3 138 KV 30604307) Labadie - Montgomery 345kV
SHENANGO_138KVSHE-CRO2_1_LN,SHENANGO_138 KV_SHE-CRO2:L345.Hoytdale-McClelland,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO2) L345.Hoytdale-McClelland
911INDUS138 KV  911-NEWC,911INDUS_138 KV_911-NEWC:L345.Hoytdale-Mansfield,NEWCASOE 138KV - 911INDUS 138KV (911INDUS 138 KV 911-NEWC) L345.McClelland-Shenango & Hoytdale-Mansfield
51 MC CO345 KV  TR84_1,51 MC CO_345 KV_TR84_1:ACTUAL,51 MC CO 345KV - 51 MC CO 138KV (51 MC CO 345 KV TR84_1) L345.GoodingsGrove-Lockport.11604
BATESVILLE - HUBBLE 138KV L/O EASTBEND - TERMINAL 345 KV,MIAMIFOR_138 KV_MIA-CLI1:L345.EastBend-Terminal,BATESVIL 138KV - HUBBLE 138KV (BATESVIL 138 KV BAT-HUB1) L345.EastBend-Terminal
AEP-DOM,AEP-DOM for l/o Bath County-Valley:L500.BathCounty-Valley.548,AEP-DOM contingency 33 L500.BathCounty-Valley.548
PALISADES - ROOSEVELT 345KV L/O PALISADES - ARGENTA 2 345KV,PALISAD2_345 KV_PAL-ROO:L345.Argenta-Palisades.2,PALISAD2 345KV - ROOSEVLT 345KV (PALISAD2 345 KV PAL-ROO) L345.Argenta-Palisades.2
CLAYTOR 138 KV  CLA-SCH1,CLAYTOR_138 KV_CLA-SCH1:L765.JacksonsFerry-Cloverdale + 138CB.JF.L,CLAYTOR 138KV - SCHRISTI 138KV (CLAYTOR 138 KV CLA-SCH1) L765.JacksonsFerry-Cloverdale + 138CB.JF.L
APSOUTH CONTINGENCY 66,APSouth Interface:L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC,APSOUTH contingency 66 L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC
EBEND_345KVEBE-TER1_1_LN,EBEND_345 KV_EBE-TER1:L345.TannersCreek-Dearborn.1,EBEND 345KV - TERMINAL 345KV (EBEND 345 KV EBE-TER1) L345.TannersCreek-Dearborn.1
CLY 115 KV CLY-NEWBERRY 975-2,NEWBERRY_115 KV_NEW-ROU:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,CLY 115KV - NEWBERRY 115KV (CLY 115 KV CLY-NEW) L115.Hunterstown-TexasEastern-Gardners.991
SHAWVILL115 KV  BNK 1A-S,SHAWVILL_115 KV_BNK 1A-S:L230.Elko-Quehanna-Moshannon,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S) L230.Elko-Quehanna-Moshannon
EDENSRID138 KV  EDE-IND1,EDENSRID_138 KV_EDE-IND1:ACTUAL,EDENSRID 138KV - INDIANSP 138KV (EDENSRID 138 KV EDE-IND1) L500.Broadford-Sullivan (TVA) Tie
TRENTON2 138 KV TRENTON2-HUTCHING TIE,COLLEGEC_138 KV_COL-COL6:L138.CollegeCorner-Trenton-Hutching,TRENTON2 138KV - HUTCHING 138KV (TRENTON2 138 KV TRE-HUT1) L765.Marysville-Sorenson
IRONWOOD_230KVIRO-NLE_1_LN,IRONWOOD_230 KV_IRO-NLE:ACTUAL,IRONWOOD 230KV - NLEBNON 230KV (IRONWOOD 230 KV IRO-NLE) BASE
CAPITALA138 KV  CAP-TWI,CAPITALA_138 KV_CAP-TWI:ACTUAL,TWINBRAN 138KV - CAPITALA 138KV (CAPITALA 138 KV CAP-TWI) L138.TwinBranch-BeechRoad-CountyRoad
MTSTORM4 500 KV MTSTORM-PRUNTYTO,IDYLWOO4_230 KV_202A:L500.Bedington-BlackOak,PRUNTYTO 500KV - MTSTORM4 500KV (MTSTORM4 500 KV MTS-PRU) L500.Bedington-BlackOak
MTZION  230 KV  MTZ-QUI4,MTZION_230 KV_MTZ-QUI4:L500.BurchesHill-PossumPoint.560,MTZION 230KV - QUINCEOR 230KV (MTZION 230 KV MTZ-QUI4) L500.BurchesHill-PossumPoint.560
OLIVE-UNIVPARK A 345 KV,OLIVE_345 KV_OLI-OLIV:L345.Braidwood-EastFrankfort.2001,OLIVE   345 KV  OLI-UNI1 L345.Braidwood-EastFrankfort.2001
PRUNTYTO_T3_500TRAN3_XF,PRUNTYTO_500 KV_TRAN 4:L500.FtMartin-Pruntytown.508,PRUNTYTO 500KV - PRUNTYTO 138KV (PRUNTYTO 500 KV TRAN  3) L500.FtMartin-Pruntytown.508
SMIT APS 138 KV SMIT APS-WYLIERID 214/WYR,SMIT APS_138 KV_SMI-WYL:L345.Toronto-WylieRidge,WYLIERID 138KV - SMIT APS 138KV (SMIT APS 138 KV SMI-WYL) L345.Toronto-WylieRidge
BUTL_APS_138KVBUT-KAR_1_LN,BUTL APS_138 KV_BUT-KAR:345/138.Ashtabula.TR4,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR) 345/138.Ashtabula.TR4
SHENANGO138 KV  SHE-CRO1,SHENANGO_138 KV_SHE-CRO1:345/138.Hoytdale.T2,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO1) 345/138.Hoytdale.T2
CRISFIE 69 KV   CRI-KST,CRISFIE_69 KV_CRI-KST:ACTUAL,CRISFIE 69KV - KINGSTON 69KV (CRISFIE 69 KV CRI-KST) BASE
GRAND MOUND - MAQUOKETA 161 KV L/O ROCK CREEK - SALEM 345 KV,GR MND 6_161 KV_GRM-MQO6:Salem-Rock Crk 345,E. Calamus-Mqoketa 161 l/o Salem-Rock Crk 345 L345.Salem-RockCreek(MEC)
GERMANTO 115 KV GERMANTO-STRABAN 998,GERMANTO_115 KV_GER-STR:L500.Hunterstown-Conastone.5013+Cap,STRABAN 115KV - GERMANTO 115KV (GERMANTO 115 KV GER-STR) L500.Hunterstown-Conastone.5013
BLACKOAK 138 KV BLACKOAK-CROSSSCH BLA-CRS,BLACKOAK_138 KV_BLA-CRS:ACTUAL,CROSSSCH 138KV - BLACKOAK 138KV (BLACKOAK 138 KV BLA-CRS) BASE
FALCON  69 KV   FAL-20F1,FALCON_69 KV_FAL-20F1:L138.BigSandy-Inez,FALCON2 69KV - FALCON 69KV (FALCON 69 KV FAL-20F1) L138.BigSandy-Inez
BUREAU - LTVSTEEL 1552 138 KV,BUREAU_138 KV_BUR-LTVS:L138.Hennepin-LTVSteel-Woodhall,7713    -981 CRES 7713 2    B  138 KV L138.EastKewanee-PrinceTap-LTVSteel-Hennepin.1552
EDGEMOOR69 KV   EDG-WDPL,EDGEMOOR_69 KV_EDG-WDPL:ACTUAL,EDGEMOOR 69KV - WESTDPL 69KV (EDGEMOOR 69 KV EDG-WDPL) L69.BasinRd-WestDPL
GREYSPT 115 KV  GRE-RAP2,GREYSPT_115 KV_GRE-RAP2:L230.Fredericksburg-Birchwood.2083,GREYSPT 115KV - RAPPAHAN 115KV (GREYSPT 115 KV GRE-RAP2) L230.Fredericksburg-Birchwood.2083
STJOHNS4 230 KV STJOHNS4 TX2 XFORMER,STJOHNS4_230 KV_TX2:ACTUAL,STJOHNS4 230KV - STJOHNS4 115KV (STJOHNS4 230 KV TX2) BASE
SUGAR CREEK-DRESSER 345 KV L/O CAYUGA XF9,DRESSER_345 KV_DRE-MIR:Cayuga 2 Transformer 9,Sugar Creek-Dresser 345 kV l/o Cayuga XF9 Cayuga 2 Transformer 9
NMESHOPP-OXBOW ETL A 230 KV,NMESHOPP_230 KV_4 TX:L500.Hopatcong-Lackawanna.5063,OXBOW 230KV - NMESHOPP 230KV (NMESHOPP 230 KV NME-OXB) L500.Hopatcong-Lackawanna.5063
LAUSCHTO230 KV  LAU-SAK3,LAUSCHTO_230 KV_LAU-SAK3:L500.Conastone-PeachBottom.5012,LAUSCHTO 230KV - SAKRON 230KV (LAUSCHTO 230 KV LAU-SAK3) L500.Conastone-PeachBottom.5012
EASTON_T1_138AT-1_XF,EASTON_138 KV_AT-1:ACTUAL,PRESTON 69 KV   PRE-TAN 138/69.Easton.AT1 + L138.Steele-Easton.13712
CLAYMONT 69 KV CLAYMONT-NAAMANS 6834,CLAYMONT_69 KV_CLA-NAA:ACTUAL,CLAYMONT 69KV - NAAMANS 69KV (CLAYMONT 69 KV CLA-NAA) L230.Edgemoor-Harmony.23012
74 KEWAN138 KV  7405 2,74 KEWAN_138 KV_7405 2:L138.Keemin-18706-187SchauffRoad.18706,74 KEWAN-7405 7405 2        A  138 KV L138.Keemin-18706-187SchauffRoad.18706
PIERC_DK345 KV  BK17,PIERC_DK_345 KV_BK17:L345.Pierce-Foster,PIERC_DK 345KV - PIERC_DK 138KV (PIERC_DK 345 KV BK17) L345.Pierce-Foster
PRESTON 69 KV PRESTON-TODD 6716-6,PRESTON_69 KV_PRE-TOD:138/69.Easton.AT1 + L138.Steele-Easton.13712,PRESTON-TODD 6716-6         B  69 KV 138/69.Easton.AT1 + L138.Steele-Easton.13712
EDWSFERY_230KV23111_1_LN,EDWSFERY_230 KV_23111:L500.Doubs-GooseCreek.514,DICKERSO 230KV - EDWSFERY 230KV (EDWSFERY 230 KV 23111) L500.Doubs-GooseCreek.514
MIAMIFOR 345 KV MIAMIFOR 9 XFORMER,MIAMIFOR_345 KV_9:ACTUAL,MIAMIFOR 9        XFORMER   H  345 KV L345.Tanners Creek-Dearborn1
GRANDPT 138 KV GRANDPOI-LETTERKE GRP-RX/R,GRANDPT_138 KV_GRA-GUI:ACTUAL,GRANDPT 138KV - LETTERKE 138KV (GRANDPT 138 KV GRA-LET) 230/115.Lewistown.T3
ARSENAL 345 KV ARSENAL -BRUNOTIS ARS-BRU1,ARSENAL_345 KV_ARS-BRU1:L345.Arsenal-BrunotIsland.306,BRUNOTIS 345KV - ARSENAL 345KV (ARSENAL 345 KV ARS-BRU1) L345.Arsenal-BrunotIsland.306
CHARLTSV230 KV  233A1,CHARLTSV_230 KV_233A1:L500.Dooms-Cunningham.534,CHARLTSV 230KV - HYDROAD 230KV (CHARLTSV 230 KV 233A1) L500.Dooms-Cunningham.534
